0.11	20.29
0.04	11.1
0.015	9.18
0.1525	25.28
0.06	7.91
0.06	7.52
0.06	7.41
0.155	16
0.155	15.87
0.155	15.48
0.155	31.72
0.12	23.15
0.09	22.71
0.06	19.62
0.03	16.22
0.02	15.37
0.097	15.882
0.02	8.994
0.157	19.218475
